Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
160001,1014/,,"ANGOUMOIS (ANGOULEME)",CHARENTES,,478075.43,6509611.52,45.65,0.15,7,"INFORMATION ISOLÉE"
580001,1079/07/17,,"PUISAYE ?",NIVERNAIS,,716280.87,6722202.41,47.60,3.22,6,ARBITRAIRE
490007,1098/10/04,,"LOUDUNOIS ?",POITOU,,464575.03,6662003.94,47.02,-0.10,6,ARBITRAIRE
760009,1142/01/07,"6 h","BASSE-VALLEE DE LA SEINE (ROUEN)",NORMANDIE,,550202.53,6933511.42,49.48,0.93,5,INCERTAINE
30001,1155/01/18,"2 h","PLATEAUX JURASSIENS (LONS-LE-SAULNIER ?)",FRANCHE-COMTE,,915580.89,6650143.40,46.92,5.83,7,ARBITRAIRE
490013,1169/10/09,"6 h","VAL D'ANJOU (ANGERS)",ANJOU,,432668.50,6713378.05,47.47,-0.55,5.5,"INFORMATION ISOLÉE"
260201,1173/01/20,,"TRICASTIN (CLANSAYES)",DAUPHINE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",844757.94,6364735.60,44.37,4.82,3,"INFORMATION ISOLÉE"
300001,1186/03/22,,"GARRIGUES (UZES)",CEVENNES,,817560.22,6327128.64,44.03,4.47,7.5,"ASSEZ SURE"
870001,1216/03/03,"1 h","RIBERACOIS (S-W. LA ROCHEBEAUCOURT ?)",GUYENNE,,492463.02,6473921.88,45.33,0.35,6.5,ARBITRAIRE
680002,1239/09/18,,"PLAINE DE HAUTE-ALSACE (RIBEAUVILLE ?)",ALSACE,,1020560.50,6797613.84,48.20,7.32,7,INCERTAINE
140002,1241/09/23,"20 h","PLAINE DE CAEN ? (CAEN)",NORMANDIE,,454598.67,6903409.22,49.18,-0.37,5,INCERTAINE
560001,1286/08/30,"12 h","VANNETAIS (VANNES)",BRETAGNE,,267469.01,6743535.99,47.65,-2.77,7,INCERTAINE
670005,1289/09/24,,"PLAINE DE BASSE-ALSACE (STRASBOURG)",ALSACE,"GROUPE DE SECOUSSES D UN ESSAIM",1050141.67,6841992.57,48.58,7.75,6,INCERTAINE
140003,1291/02/14,,"PLAINE DE CAEN (FALAISE ?)",NORMANDIE,,484124.19,6879966.16,48.98,0.05,6,ARBITRAIRE
460001,1302/02/19,"6 h","BIGORRE ?","PYRENEES CENTRALES",,468810.50,6215331.93,43.00,0.17,7,ARBITRAIRE
370003,1316/09/10,,"BRENNE ?",BERRY,,547105.67,6620445.99,46.67,1.00,7,ARBITRAIRE
250040,1322/12/29,"9 h","AVANT-PAYS JURASSIEN (BESANCON)",FRANCHE-COMTE,,929369.20,6687705.52,47.25,6.03,5,"INFORMATION ISOLÉE"
460002,1335/12/29,"8 h","ANGOUMOIS (S-E. ANGOULEME)",CHARENTES,,495440.51,6484934.27,45.43,0.38,7,ARBITRAIRE
680007,1363/07/03,,"PLAINE DE HAUTE-ALSACE (THANN)",ALSACE,,1006696.20,6754216.62,47.82,7.10,7,INCERTAINE
680010,1372/06/01,"5 h","PLAINE DE HAUTE-ALSACE (MULHOUSE ?)",ALSACE,,1022045.72,6747616.13,47.75,7.30,7,INCERTAINE
380002,1379/08/03,,"TRIEVES (MENS)",DAUPHINE,,917363.49,6416841.98,44.82,5.75,6,INCERTAINE
660005,1381/04/27,"13 h","PLAINE DU ROUSSILLON (PERPIGNAN)","PYRENEES ORIENTALES",,691796.37,6177826.85,42.70,2.90,4,"INFORMATION ISOLÉE"
380126,1382/05/18,,"VERCORS (VIF)",DAUPHINE,,909904.25,6442516.90,45.05,5.67,5,"INFORMATION ISOLÉE"
340004,1397/05/26,"23 h 55 min","CAMARGUE (ARLES)",PROVENCE,,839541.33,6299788.86,43.78,4.73,5.5,INCERTAINE
440080,1399/10,,"PAYS DE NANTES (NANTES)","PAYS NANTAIS ET VENDEEN",,355838.71,6689515.23,47.22,-1.55,5,"INFORMATION ISOLÉE"
670011,1415/11/30,"6 h","PLAINE DE BASSE-ALSACE (STRASBOURG)",ALSACE,,1050141.67,6841992.57,48.58,7.75,4.5,"INFORMATION ISOLÉE"
440005,1428/05,,"PAYS DE NANTES (NANTES)","PAYS NANTAIS ET VENDEEN",,355838.71,6689515.23,47.22,-1.55,6,"INFORMATION ISOLÉE"
490015,1442/01/26,,"VAL D'ANJOU (ANGERS)",ANJOU,,432668.50,6713378.05,47.47,-0.55,6,"INFORMATION ISOLÉE"
